offset,Chord,NormalForm,PCsinNormalForm,Measure Number,Measure Beat
93.75,<music21.chord.Chord E-4 F#3>,"[0, 3]","[3, 6]",38,3
93.875,<music21.chord.Chord E-4>,[0],[3],38,3
94.0,<music21.chord.Chord F#4>,[0],[6],38,4
94.75,<music21.chord.Chord B4>,[0],[11],38,5
95.0,<music21.chord.Chord A4 F#5 E-3>,"[0, 3, 6]","[3, 6, 9]",39,1
95.5,<music21.chord.Chord E5 A4 F#4 C4 E-3>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",39,2
96.0,<music21.chord.Chord E-5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",39,3
96.125,<music21.chord.Chord F#5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",39,3
96.16666666666670,<music21.chord.Chord A4 F#5 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",39,3
96.25,<music21.chord.Chord E-5 A4 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",39,3
96.5,<music21.chord.Chord E5 A4 E-3 C4>,"[0, 3, 6, 7]","[9, 0, 3, 4]",39,4
97.16666666666670,<music21.chord.Chord A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",39,5
97.25,<music21.chord.Chord E-5 A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",39,5
97.5,<music21.chord.Chord C5 G#4 E4>,"[0, 4, 8]","[0, 4, 8]",40,1
98.0,<music21.chord.Chord C#5 G#4 C#4>,"[0, 5]","[8, 1]",40,2
98.66666666666670,<music21.chord.Chord G#4>,[0],[8],40,3
98.75,<music21.chord.Chord E5 G#3>,"[0, 4]","[4, 8]",40,3
99.0,<music21.chord.Chord G#5 E3>,"[0, 4]","[4, 8]",40,4
99.75,<music21.chord.Chord B5 C#3>,"[0, 2]","[11, 1]",40,5
100.0,<music21.chord.Chord B5 E-6 F#2>,"[0, 4, 7]","[11, 3, 6]",41,1
100.5,<music21.chord.Chord B-5 C#6 F3>,"[0, 3, 7]","[10, 1, 5]",41,2
101.25,<music21.chord.Chord F#5 B-5 F#3>,"[0, 4]","[6, 10]",41,3
101.5,<music21.chord.Chord E5 G#5 B-3>,"[0, 4, 6]","[4, 8, 10]",41,4
102.25,<music21.chord.Chord D5 F5 F#4>,"[0, 3, 4]","[2, 5, 6]",41,5
102.5,<music21.chord.Chord E-5 F#5 B2>,"[0, 4, 7]","[11, 3, 6]",42,1
103.0,<music21.chord.Chord E-5 F#5 F3>,"[0, 2, 3]","[3, 5, 6]",42,2
103.66666666666700,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",42,3
103.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",42,3
103.875,<music21.chord.Chord E-5 F#5 B-3 F#3>,"[0, 3, 7]","[3, 6, 10]",42,3
104.0,<music21.chord.Chord E-5 F#5 G#3>,"[0, 3, 5]","[3, 6, 8]",42,4
104.66666666666700,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",42,5
104.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",42,5
