Offset,Chord,Normal Form,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
85.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,43,2.0
85.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,43,2.5
86.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,44,1.0
88.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,45,1.5
89.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,45,2.0
89.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,45,2.5
90.0,<music21.chord.Chord E-2>,[0],[3],Children's Corner 113 6 Eb Major.mid,Debussy,46,1.0
91.0,<music21.chord.Chord F2>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,46,2.0
92.0,<music21.chord.Chord C#3 F#2>,"[0, 5]","[1, 6]",Children's Corner 113 6 Eb Major.mid,Debussy,47,1.0
92.125,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,47,1.125
92.375,<music21.chord.Chord A3 C#3>,"[0, 4]","[9, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,47,1.375
92.5,<music21.chord.Chord B-3 C#4 C#3>,"[0, 3]","[10, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,47,1.5
92.625,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,47,1.625
93.0,<music21.chord.Chord F#2 C#3>,"[0, 5]","[1, 6]",Children's Corner 113 6 Eb Major.mid,Debussy,47,2.0
93.125,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,47,2.125
93.375,<music21.chord.Chord A3 C#3>,"[0, 4]","[9, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,47,2.375
93.5,<music21.chord.Chord B-3 C#4 C#3>,"[0, 3]","[10, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,47,2.5
93.625,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,47,2.625
94.0,<music21.chord.Chord F#2 C#3>,"[0, 5]","[1, 6]",Children's Corner 113 6 Eb Major.mid,Debussy,48,1.0
94.125,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,48,1.125
94.375,<music21.chord.Chord G3 C#3>,"[0, 6]","[1, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,48,1.375
94.5,<music21.chord.Chord G#3 B3 C#3>,"[0, 3, 5]","[8, 11, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,48,1.5
94.625,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,48,1.625
95.0,<music21.chord.Chord F#2 C#3>,"[0, 5]","[1, 6]",Children's Corner 113 6 Eb Major.mid,Debussy,48,2.0
95.125,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,48,2.125
95.375,<music21.chord.Chord G#3 C#3>,"[0, 5]","[8, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,48,2.375
95.5,<music21.chord.Chord A3 C4 F4 C#3>,"[0, 4, 7, 8]","[5, 9, 0, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,48,2.5
95.625,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,48,2.625
95.875,<music21.chord.Chord E-3 C#3>,"[0, 2]","[1, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,48,2.875
96.0,<music21.chord.Chord C#3 F#2>,"[0, 5]","[1, 6]",Children's Corner 113 6 Eb Major.mid,Debussy,49,1.0
96.125,<music21.chord.Chord C#3>,[0],[1],Children's Corner 113 6 Eb Major.mid,Debussy,49,1.125
96.375,<music21.chord.Chord A3 C#3>,"[0, 4]","[9, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,49,1.375
