offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
248.5,<music21.chord.Chord C4 E-5>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,125,1 1/2
249.0,<music21.chord.Chord D4 E-5>,"[0, 1]","[2, 3]",Simpson_Invention_no6.xml,Simpson,125,2
249.5,<music21.chord.Chord D4 F5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,Simpson,125,2 1/2
250.0,<music21.chord.Chord D3 F5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,Simpson,126,1
250.5,<music21.chord.Chord D3 A4>,"[0, 5]","[9, 2]",Simpson_Invention_no6.xml,Simpson,126,1 1/2
251.0,<music21.chord.Chord G3 A4>,"[0, 2]","[7, 9]",Simpson_Invention_no6.xml,Simpson,126,2
251.5,<music21.chord.Chord G3 B4>,"[0, 4]","[7, 11]",Simpson_Invention_no6.xml,Simpson,126,2 1/2
252.0,<music21.chord.Chord G2 B4>,"[0, 4]","[7, 11]",Simpson_Invention_no6.xml,Simpson,127,1
252.5,<music21.chord.Chord G2 D4>,"[0, 5]","[2, 7]",Simpson_Invention_no6.xml,Simpson,127,1 1/2
253.0,<music21.chord.Chord C3 D4>,"[0, 2]","[0, 2]",Simpson_Invention_no6.xml,Simpson,127,2
253.5,<music21.chord.Chord C3 E-4>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,127,2 1/2
254.0,<music21.chord.Chord C2 E-4>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,128,1
254.5,<music21.chord.Chord C2 G3>,"[0, 5]","[7, 0]",Simpson_Invention_no6.xml,Simpson,128,1 1/2
255.0,<music21.chord.Chord F2 G3>,"[0, 2]","[5, 7]",Simpson_Invention_no6.xml,Simpson,128,2
255.5,<music21.chord.Chord F2 A-3>,"[0, 3]","[5, 8]",Simpson_Invention_no6.xml,Simpson,128,2 1/2
256.0,<music21.chord.Chord F3 A-4>,"[0, 3]","[5, 8]",Simpson_Invention_no6.xml,Simpson,129,1
256.5,<music21.chord.Chord F3 C4>,"[0, 5]","[0, 5]",Simpson_Invention_no6.xml,Simpson,129,1 1/2
257.0,<music21.chord.Chord B-2 C4>,"[0, 2]","[10, 0]",Simpson_Invention_no6.xml,Simpson,129,2
257.5,<music21.chord.Chord B-2 D4>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,129,2 1/2
258.0,<music21.chord.Chord E-3 G4>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,Simpson,130,1
258.5,<music21.chord.Chord E-3 B-3>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,130,1 1/2
259.0,<music21.chord.Chord A-2 B-3>,"[0, 2]","[8, 10]",Simpson_Invention_no6.xml,Simpson,130,2
259.5,<music21.chord.Chord A-2 C4>,"[0, 4]","[8, 0]",Simpson_Invention_no6.xml,Simpson,130,2 1/2
260.0,<music21.chord.Chord D3 F4>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,Simpson,131,1
260.5,<music21.chord.Chord D3 G3>,"[0, 5]","[2, 7]",Simpson_Invention_no6.xml,Simpson,131,1 1/2
261.0,<music21.chord.Chord G2 A3>,"[0, 2]","[7, 9]",Simpson_Invention_no6.xml,Simpson,131,2
261.5,<music21.chord.Chord G2 B3>,"[0, 4]","[7, 11]",Simpson_Invention_no6.xml,Simpson,131,2 1/2
262.0,<music21.chord.Chord C3 E-4>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,132,1
262.5,<music21.chord.Chord C3 G3>,"[0, 5]","[7, 0]",Simpson_Invention_no6.xml,Simpson,132,1 1/2
