offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
79.5,<music21.chord.Chord A5 B4 C4 G5>,"[0, 2, 4, 5]","[7, 9, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,26,2.0
80.25,<music21.chord.Chord F#5 A5 B4 C4>,"[0, 3, 5, 6]","[6, 9, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,26,2.50
80.5,<music21.chord.Chord B4 E5 C4 A5>,"[0, 2, 3, 7]","[9, 11, 0, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,26,2.7
81,<music21.chord.Chord A5 B4 C4 F#5>,"[0, 3, 5, 6]","[6, 9, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,27,1
81.75,<music21.chord.Chord D5 A5 B4 C4>,"[0, 2, 3, 5]","[9, 11, 0, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,27,1.50
82,<music21.chord.Chord B4 E5 C4 A5>,"[0, 2, 3, 7]","[9, 11, 0, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,27,1.66666666666667
82.5,<music21.chord.Chord A5 B4 D4 F#5>,"[0, 3, 5, 8]","[6, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,27,2.0
83.25,<music21.chord.Chord E5 A5 B4 D4>,"[0, 2, 5, 7]","[9, 11, 2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,27,2.50
83.5,<music21.chord.Chord D4 B4 D5 A5>,"[0, 2, 5]","[9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,27,2.7
84,<music21.chord.Chord A5 D4 B4 E5>,"[0, 2, 5, 7]","[9, 11, 2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,28,1
84.75,<music21.chord.Chord F#5 A5 D4 B4>,"[0, 3, 5, 8]","[6, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,28,1.50
85,<music21.chord.Chord D4 B4 D5 A5>,"[0, 2, 5]","[9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,28,1.66666666666667
85.5,<music21.chord.Chord A5 F#5 E4 B4>,"[0, 2, 5, 7]","[4, 6, 9, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,28,2.0
86.25,<music21.chord.Chord G5 E4 B4>,"[0, 3, 7]","[4, 7, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,28,2.50
86.5,<music21.chord.Chord F#5 E4 B4>,"[0, 2, 7]","[4, 6, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,28,2.7
87,<music21.chord.Chord E5 E4 B4>,"[0, 5]","[11, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,29,1
