offset,Chord,NormalForm,PCsinNormalForm,file,Measure Number,Measure Count
84,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_Sol_Sostenido.xml,15,1
84.5,<music21.chord.Chord B2 D#5>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,15,1 1/4
85,<music21.chord.Chord D#3 C#5>,"[0, 2]","[1, 3]",AlariodelRio_Sol_Sostenido.xml,15,1 1/2
85.5,<music21.chord.Chord C#3 C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,15,1 3/4
86,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,15,2
86.5,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,15,2 1/4
87,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,15,2 1/2
88.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,15,3 1/4
89,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,15,3 1/2
89.5,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",AlariodelRio_Sol_Sostenido.xml,15,3 3/4
90,<music21.chord.Chord D#3 C#5>,"[0, 2]","[1, 3]",AlariodelRio_Sol_Sostenido.xml,16,1
90.5,<music21.chord.Chord C#3 C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,16,1 1/4
91,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,16,1 1/2
91.5,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,16,1 3/4
93,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,16,2 1/2
93.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,16,2 3/4
94,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,16,3
94.5,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",AlariodelRio_Sol_Sostenido.xml,16,3 1/4
95,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,16,3 1/2
95.5,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,16,3 3/4
96,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,17,1
96.5,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,17,1 1/4
97,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,17,1 1/2
98,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,17,2
98.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,17,2 1/4
99,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,17,2 1/2
99.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,17,2 3/4
100,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,17,3
100.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,17,3 1/4
101,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,17,3 1/2
101.5,<music21.chord.Chord A#2 E5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,17,3 3/4
102,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,18,1
102.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,18,1 1/4
103,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,18,1 1/2
105,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,18,2 1/2
