offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
149.0,<music21.chord.Chord E-4 A4 C#5 A3>,"[0, 4, 6]","[9, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
149.5,<music21.chord.Chord B-3>,[0],[10],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
150.0,<music21.chord.Chord E4 B-4 C5 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
150.5,<music21.chord.Chord C4>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
151.0,<music21.chord.Chord E4 B-4 C5 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
151.5,<music21.chord.Chord B-3>,[0],[10],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
152.0,<music21.chord.Chord E4 B-4 C5 A3>,"[0, 1, 3, 7]","[9, 10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
152.375,<music21.chord.Chord A3>,[0],[9],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
153.0,<music21.chord.Chord E4 B-4 C5>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
153.5,<music21.chord.Chord G#3>,[0],[8],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
154.0,<music21.chord.Chord E4 B-4 C5 A3>,"[0, 1, 3, 7]","[9, 10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
154.375,<music21.chord.Chord A3>,[0],[9],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
154.5,<music21.chord.Chord B-3>,[0],[10],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
155.0,<music21.chord.Chord E4 B-4 C5 C4>,"[0, 2, 6]","[10, 0, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
155.375,<music21.chord.Chord C4>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
155.5,<music21.chord.Chord C#4>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
156.0,<music21.chord.Chord E4 B-4 C5 E-4>,"[0, 2, 5, 6]","[10, 0, 3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
156.5,<music21.chord.Chord E-4>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
157.0,<music21.chord.Chord E4 B-4 C5 E-4>,"[0, 2, 5, 6]","[10, 0, 3, 4]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
