offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
43.5,<music21.chord.Chord C2 G2 E-4>,"[0, 3, 7]","[0, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,30,1
44.0,<music21.chord.Chord C2 G2 G3>,"[0, 5]","[7, 0]",Takemitsu_Romance.mxl,Takemitsu,30,2
44.5,<music21.chord.Chord A2 B-2 E-3 B-3 E-4 A4>,"[0, 1, 6]","[9, 10, 3]",Takemitsu_Romance.mxl,Takemitsu,30,3
45.0,<music21.chord.Chord A2 B-2 E-3 B-3 E-4 A4>,"[0, 1, 6]","[9, 10, 3]",Takemitsu_Romance.mxl,Takemitsu,31,1
46.0,<music21.chord.Chord A2 B-2 E-3 D4>,"[0, 1, 5, 6]","[9, 10, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,31,3
46.5,<music21.chord.Chord A3>,[0],[9],Takemitsu_Romance.mxl,Takemitsu,32,1
47.0,<music21.chord.Chord G3>,[0],[7],Takemitsu_Romance.mxl,Takemitsu,32,2
47.25,<music21.chord.Chord G1 G3>,[0],[7],Takemitsu_Romance.mxl,Takemitsu,32,2 1/2
47.333333333333300,<music21.chord.Chord D2 G3>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,32,2 2/3
47.416666666666700,<music21.chord.Chord G#2 G3>,"[0, 1]","[7, 8]",Takemitsu_Romance.mxl,Takemitsu,32,2 5/6
47.5,<music21.chord.Chord D3>,[0],[2],Takemitsu_Romance.mxl,Takemitsu,32,3
47.75,<music21.chord.Chord D3 G4 G5>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,32,3 1/2
48.0,<music21.chord.Chord D3 E-4 E-5>,"[0, 1]","[2, 3]",Takemitsu_Romance.mxl,Takemitsu,33,1
48.375,<music21.chord.Chord D3 D4 D5>,[0],[2],Takemitsu_Romance.mxl,Takemitsu,33,1 3/4
48.5,<music21.chord.Chord A2 C3 E-3 A3 D4 A4>,"[0, 3, 5, 6]","[9, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,33,2
49.0,<music21.chord.Chord A2 C3 E-3 A3 D4 A4>,"[0, 3, 5, 6]","[9, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,33,3
49.5,<music21.chord.Chord A3 A4>,[0],[9],Takemitsu_Romance.mxl,Takemitsu,34,1
49.75,<music21.chord.Chord G1 B-3 B-4>,"[0, 3]","[7, 10]",Takemitsu_Romance.mxl,Takemitsu,34,1 1/2
49.833333333333300,<music21.chord.Chord D2 B-3 B-4>,"[0, 4]","[10, 2]",Takemitsu_Romance.mxl,Takemitsu,34,1 2/3
49.916666666666700,<music21.chord.Chord G#2 B-3 B-4>,"[0, 2]","[8, 10]",Takemitsu_Romance.mxl,Takemitsu,34,1 5/6
50.0,<music21.chord.Chord D3 C4 C5>,"[0, 2]","[0, 2]",Takemitsu_Romance.mxl,Takemitsu,34,2
51.0,<music21.chord.Chord D3 C4 C5>,"[0, 2]","[0, 2]",Takemitsu_Romance.mxl,Takemitsu,35,1
51.25,<music21.chord.Chord D3 G3 G4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,35,1 1/2
51.5,<music21.chord.Chord A2 B-2 E-3 A3 D4 A4>,"[0, 1, 5, 6]","[9, 10, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,35,2
52.0,<music21.chord.Chord A2 B-2 E-3 A3 D4 A4>,"[0, 1, 5, 6]","[9, 10, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,35,3
