offset,Chord,Phrase Boundary,Song Beat Number,Measure Number,Measure Beat Number,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
10,<music21.chord.Chord C5 G5 C4>,,11,4,2,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7942672136734980
10.5,<music21.chord.Chord C5 G5 C4>,,11,4,2,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7942672136734980
11,<music21.chord.Chord C5 G5 F4>,,12,4,3,"[0, 2, 7]","[5, 7, 0]","[5, 7, 0]",79,65,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[5, 7, 0]_5",0.7942672136734980
11.5,<music21.chord.Chord C5 G5 F4>,,12,4,3,"[0, 2, 7]","[5, 7, 0]","[5, 7, 0]",79,65,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[5, 7, 0]_5",0.7942672136734980
11.75,<music21.chord.Chord C5 G5 E-4>,,12,4,3,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7942672136734980
12,<music21.chord.Chord C5 G5 G4>,,13,5,1,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
12.5,<music21.chord.Chord C5 G5 G4>,,13,5,1,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
13,<music21.chord.Chord C5 G5 G4>,,14,5,2,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
13.5,<music21.chord.Chord C5 G5 E-4>,,14,5,2,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7942672136734980
14,<music21.chord.Chord C5 G5 G4>,,15,5,3,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
14.5,<music21.chord.Chord C5 G5 G4>,,15,5,3,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
14.75,<music21.chord.Chord C5 G5 E-4>,,15,5,3,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7942672136734980
15,<music21.chord.Chord D4>,,16,6,1,[0],[2],[2],62,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[2]_2,0.7942672136734980
15.5,<music21.chord.Chord B-4 B-5 D4>,,16,6,1,"[0, 4]","[10, 2]","[10, 2]",82,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[10, 2]_2",0.7942672136734980
16,<music21.chord.Chord B-4 B-5 D4>,,17,6,2,"[0, 4]","[10, 2]","[10, 2]",82,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[10, 2]_2",0.794021902698421
16.5,<music21.chord.Chord B-4 B-5 F4>,,17,6,2,"[0, 5]","[5, 10]","[5, 10]",82,65,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[5, 10]_5",0.794021902698421
17,<music21.chord.Chord B-4 B-5 E-4>,,18,6,3,"[0, 5]","[10, 3]","[10, 3]",82,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[10, 3]_3",0.7989156821932820
17.5,<music21.chord.Chord B-4 B-5 D4>,,18,6,3,"[0, 4]","[10, 2]","[10, 2]",82,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[10, 2]_2",0.7989156821932820
18,<music21.chord.Chord E-4>,,19,7,1,[0],[3],[3],63,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[3]_3,0.7989156821932820
