measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
16,1 2/3,46.5,<music21.chord.Chord B2 B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,2,47.0,<music21.chord.Chord E2 B4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,2 1/3,47.5,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,2 2/3,48.0,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,1,48.5,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,1 1/3,49.0,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,1 2/3,49.5,<music21.chord.Chord F4 C5>,"[0, 5]","[0, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,2,50.0,<music21.chord.Chord C4 C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,2 1/3,50.5,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,2 2/3,51.0,<music21.chord.Chord A4>,[0],[9],Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,1,51.5,<music21.chord.Chord E3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,1 1/3,52.0,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,1 2/3,52.5,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,2,53.0,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,2 2/3,54.0,<music21.chord.Chord G4>,[0],[7],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,1,54.5,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,1 1/3,55.0,<music21.chord.Chord A4>,[0],[9],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,1 1/2,55.25,<music21.chord.Chord G4>,[0],[7],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,1 2/3,55.5,<music21.chord.Chord C4 A4>,"[0, 3]","[9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,2,56.0,<music21.chord.Chord A3 D4>,"[0, 5]","[9, 2]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,2 1/3,56.5,<music21.chord.Chord D4>,[0],[2],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,2 1/2,56.75,<music21.chord.Chord F4>,[0],[5],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,2 2/3,57.0,<music21.chord.Chord D4>,[0],[2],Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,1,57.5,<music21.chord.Chord E3 G#3 E4>,"[0, 4]","[4, 8]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,1 1/3,58.0,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,1 2/3,58.5,<music21.chord.Chord B2 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,2,59.0,<music21.chord.Chord E2 E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,2 2/3,60.0,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
21,1,60.5,<music21.chord.Chord F2 E3 A3 C4 E4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
21,2,62.0,<music21.chord.Chord F2 E3 A3 C4 E4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
