offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
29.333333333333300,<music21.chord.Chord B-5 F#4>,"[0, 4]","[6, 10]",Humoresque in B Op101No2 B major.mid,,15,2
29.458333333333300,<music21.chord.Chord B-5>,[0],[10],Humoresque in B Op101No2 B major.mid,,15,2
29.5,<music21.chord.Chord C#6 B-4>,"[0, 3]","[10, 1]",Humoresque in B Op101No2 B major.mid,,15,2
29.666666666666700,<music21.chord.Chord B5 F#4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,15,2
29.875,<music21.chord.Chord B-5 B-4>,[0],[10],Humoresque in B Op101No2 B major.mid,,15,2
30.0,<music21.chord.Chord G#5 B-5 E3>,"[0, 4, 6]","[4, 8, 10]",Humoresque in B Op101No2 B major.mid,,16,1
30.125,<music21.chord.Chord G#5 G#3>,[0],[8],Humoresque in B Op101No2 B major.mid,,16,1
30.25,<music21.chord.Chord G#5>,[0],[8],Humoresque in B Op101No2 B major.mid,,16,1
30.333333333333300,<music21.chord.Chord G#5 B3>,"[0, 3]","[8, 11]",Humoresque in B Op101No2 B major.mid,,16,1
30.458333333333300,<music21.chord.Chord G#5>,[0],[8],Humoresque in B Op101No2 B major.mid,,16,1
30.5,<music21.chord.Chord B5 E4>,"[0, 5]","[11, 4]",Humoresque in B Op101No2 B major.mid,,16,1
30.666666666666700,<music21.chord.Chord B-5 B3>,"[0, 1]","[10, 11]",Humoresque in B Op101No2 B major.mid,,16,1
30.875,<music21.chord.Chord G#5 E4>,"[0, 4]","[4, 8]",Humoresque in B Op101No2 B major.mid,,16,1
31.0,<music21.chord.Chord B-5 E-5 F#3>,"[0, 3, 7]","[3, 6, 10]",Humoresque in B Op101No2 B major.mid,,16,2
31.125,<music21.chord.Chord E-5 B-3>,"[0, 5]","[10, 3]",Humoresque in B Op101No2 B major.mid,,16,2
31.25,<music21.chord.Chord E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,16,2
31.333333333333300,<music21.chord.Chord E-5 E-4>,[0],[3],Humoresque in B Op101No2 B major.mid,,16,2
31.458333333333300,<music21.chord.Chord E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,16,2
31.5,<music21.chord.Chord E-5 F#4>,"[0, 3]","[3, 6]",Humoresque in B Op101No2 B major.mid,,16,2
31.625,<music21.chord.Chord E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,16,2
31.666666666666700,<music21.chord.Chord E-4 E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,16,2
31.791666666666700,<music21.chord.Chord E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,16,2
31.875,<music21.chord.Chord F#4>,[0],[6],Humoresque in B Op101No2 B major.mid,2,16,2
32.0,<music21.chord.Chord E-6 F#5 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,1,17,1
32.5,<music21.chord.Chord F#6 E-5 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,17,1
33.0,<music21.chord.Chord B5 E5 B3 F#4>,"[0, 2, 7]","[4, 6, 11]",Humoresque in B Op101No2 B major.mid,,17,2
33.5,<music21.chord.Chord F#5 B3 F#4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,17,2
34.0,<music21.chord.Chord C#6 G5 B2 F#3>,"[0, 1, 5, 7]","[6, 7, 11, 1]",Humoresque in B Op101No2 B major.mid,,18,1
34.25,<music21.chord.Chord E-6 G5 B2 F#3>,"[0, 4, 7, 8]","[11, 3, 6, 7]",Humoresque in B Op101No2 B major.mid,,18,1
34.5,<music21.chord.Chord E6 G#5 B2 F#3>,"[0, 2, 4, 7]","[4, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,18,1
34.75,<music21.chord.Chord E-6 G#5 B2 F#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,18,1
35.0,<music21.chord.Chord E-6 G5 B3 F#4>,"[0, 4, 7, 8]","[11, 3, 6, 7]",Humoresque in B Op101No2 B major.mid,,18,2
35.5,<music21.chord.Chord E-6 F#5 B3 F#4>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,18,2
36.0,<music21.chord.Chord E-6 F#5 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,19,1
36.5,<music21.chord.Chord F#6 E-5 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,19,1
37.0,<music21.chord.Chord B5 E5 B3 F#4>,"[0, 2, 7]","[4, 6, 11]",Humoresque in B Op101No2 B major.mid,,19,2
37.5,<music21.chord.Chord F#5 B3 F#4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,19,2
