offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
64.33333333333330,<music21.chord.Chord B-4 G5 G4 C#5 B-3 C#4>,"[0, 3, 6]","[7, 10, 1]",Prelude in C#- Op3No2 C#-.mid,,,
64.66666666666670,<music21.chord.Chord G5 G4 C#5 B-3 C#4>,"[0, 3, 6]","[7, 10, 1]",Prelude in C#- Op3No2 C#-.mid,,,
65.875,<music21.chord.Chord G#3 G#2 G#1>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
66.75,<music21.chord.Chord G#3 G#2>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
67.875,<music21.chord.Chord G#5 B4 G#4 E-5>,"[0, 3, 7]","[8, 11, 3]",Prelude in C#- Op3No2 C#-.mid,,,
68.0,<music21.chord.Chord E-4 B3 G#5 B4 G#4>,"[0, 3, 7]","[8, 11, 3]",Prelude in C#- Op3No2 C#-.mid,,,
68.125,<music21.chord.Chord G#5 B4 E-4 B3>,"[0, 3, 7]","[8, 11, 3]",Prelude in C#- Op3No2 C#-.mid,,,
68.375,<music21.chord.Chord G#5 E-4 B3>,"[0, 3, 7]","[8, 11, 3]",Prelude in C#- Op3No2 C#-.mid,,,
68.625,<music21.chord.Chord G#5 B3>,"[0, 3]","[8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
68.66666666666670,<music21.chord.Chord G#5>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
69.125,<music21.chord.Chord A5 A4 C#5 E5 C#4>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,
69.25,<music21.chord.Chord E4 A5 A4 C#5 E5 C#4>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,
69.45833333333330,<music21.chord.Chord A5 C#5 E5 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,
69.5,<music21.chord.Chord A5 E5 C#4>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,
70.25,<music21.chord.Chord A4 F#5 F#4 C#5 C#4 A3>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,
70.625,<music21.chord.Chord A4 F#5 F#4 C#5>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,
71.25,<music21.chord.Chord G#5 E-5 G#4 B4 E-4 B3>,"[0, 3, 7]","[8, 11, 3]",Prelude in C#- Op3No2 C#-.mid,,,
71.5,<music21.chord.Chord G#5 E-5 G#4>,"[0, 5]","[3, 8]",Prelude in C#- Op3No2 C#-.mid,,,
71.75,<music21.chord.Chord G#4>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
72.25,<music21.chord.Chord E5 G#4 E4 B4 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
