measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
12,3 1/2,71.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,1 3/4,73.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,2,74.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,2 1/4,74.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,2 1/2,75.0,<music21.chord.Chord D#3 D#5>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,2 3/4,75.5,<music21.chord.Chord D#3 D#5>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,3,76.0,<music21.chord.Chord B2 D#5>,"[0, 4]","[11, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,3 1/4,76.5,<music21.chord.Chord A#2 D#5>,"[0, 5]","[10, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,3 1/2,77.0,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
13,3 3/4,77.5,<music21.chord.Chord E3 D#5>,"[0, 1]","[3, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,1,78.0,<music21.chord.Chord D#5>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,1 1/2,79.0,<music21.chord.Chord D#5>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,2,80.0,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,2 1/4,80.5,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,2 1/2,81.0,<music21.chord.Chord C#3 D#5>,"[0, 2]","[1, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,2 3/4,81.5,<music21.chord.Chord B2 D#5>,"[0, 4]","[11, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,3,82.0,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,3 1/4,82.5,<music21.chord.Chord B2 D#5>,"[0, 4]","[11, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,3 1/2,83.0,<music21.chord.Chord G#3 D#5>,"[0, 5]","[3, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
14,3 3/4,83.5,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,1,84.0,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,1 1/4,84.5,<music21.chord.Chord B2 D#5>,"[0, 4]","[11, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,1 1/2,85.0,<music21.chord.Chord D#3 C#5>,"[0, 2]","[1, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,1 3/4,85.5,<music21.chord.Chord C#3 C#5>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,2,86.0,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,2 1/4,86.5,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,2 1/2,87.0,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,3 1/4,88.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,3 1/2,89.0,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
15,3 3/4,89.5,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,1,90.0,<music21.chord.Chord D#3 C#5>,"[0, 2]","[1, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,1 1/4,90.5,<music21.chord.Chord C#3 C#5>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,1 1/2,91.0,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,1 3/4,91.5,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,2 1/2,93.0,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,2 3/4,93.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,3,94.0,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,3 1/4,94.5,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,3 1/2,95.0,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
16,3 3/4,95.5,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,1,96.0,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,1 1/4,96.5,<music21.chord.Chord E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,1 1/2,97.0,<music21.chord.Chord E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,2,98.0,<music21.chord.Chord E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,2 1/4,98.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
17,2 1/2,99.0,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
