Offset,Chord,Normal Form,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
154.625,<music21.chord.Chord B-3 E-4 F#2 C#3>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,155,78,1
154.875,<music21.chord.Chord C5 B-3 E-4 F#2 C#3>,"[0, 2, 3, 5, 8]","[10, 0, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,155,78,1
155.0,<music21.chord.Chord B-4 C#5 B-3 E-4 C#4 F4 F#2 C#3>,"[0, 3, 5, 7, 8]","[10, 1, 3, 5, 6]",Children's Corner 113 6 Eb Major.mid,,156,78,2
155.125,<music21.chord.Chord B-3 E-4 F#2 C#3>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,156,78,2
155.375,<music21.chord.Chord D5 B-3 E-4 F#2 C#3>,"[0, 3, 4, 5, 8]","[10, 1, 2, 3, 6]",Children's Corner 113 6 Eb Major.mid,,156,78,2
155.5,<music21.chord.Chord B-4 E-5 B-3 E-4 C#4 F#2 C#3>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,156,78,2
155.625,<music21.chord.Chord B-3 E-4 F#2 C#3>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,2,156,78,2
157.0,<music21.chord.Chord C#5 C#4>,[0],[1],Children's Corner 113 6 Eb Major.mid,1,158,79,2
158.0,<music21.chord.Chord A5 A4>,[0],[9],Children's Corner 113 6 Eb Major.mid,,159,80,1
158.5,<music21.chord.Chord B5 B4>,[0],[11],Children's Corner 113 6 Eb Major.mid,,159,80,1
159.5,<music21.chord.Chord B-5 B-4>,[0],[10],Children's Corner 113 6 Eb Major.mid,,160,80,2
160.0,<music21.chord.Chord F5 B-4 B2>,"[0, 5, 6]","[5, 10, 11]",Children's Corner 113 6 Eb Major.mid,,161,81,1
160.25,<music21.chord.Chord G#5 B-4 B2>,"[0, 2, 3]","[8, 10, 11]",Children's Corner 113 6 Eb Major.mid,,161,81,1
160.5,<music21.chord.Chord G#4 G#5 F#3 G#3 B3 E-4 B2>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Children's Corner 113 6 Eb Major.mid,,161,81,1
160.75,<music21.chord.Chord F#5 G#4 B2 F#3 G#3 B3 E-4>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Children's Corner 113 6 Eb Major.mid,,161,81,1
161.0,<music21.chord.Chord E-5 F#4 B2 F#3 G#3 B3 E-4>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Children's Corner 113 6 Eb Major.mid,,162,81,2
161.5,<music21.chord.Chord F4 E-5 B2 F#3 G#3 B3 E-4>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",Children's Corner 113 6 Eb Major.mid,,162,81,2
162.0,<music21.chord.Chord B-4 E-4>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,,163,82,1
162.25,<music21.chord.Chord C#5 E-4>,"[0, 2]","[1, 3]",Children's Corner 113 6 Eb Major.mid,,163,82,1
162.5,<music21.chord.Chord C#5 C#4>,[0],[1],Children's Corner 113 6 Eb Major.mid,,163,82,1
162.75,<music21.chord.Chord B4 C#4>,"[0, 2]","[11, 1]",Children's Corner 113 6 Eb Major.mid,,163,82,1
163.0,<music21.chord.Chord F4 B3>,"[0, 6]","[5, 11]",Children's Corner 113 6 Eb Major.mid,,164,82,2
163.375,<music21.chord.Chord F4 B-3>,"[0, 5]","[5, 10]",Children's Corner 113 6 Eb Major.mid,,164,82,2
163.625,<music21.chord.Chord F4 G#3 B-3>,"[0, 3, 5]","[5, 8, 10]",Children's Corner 113 6 Eb Major.mid,,164,82,2
163.75,<music21.chord.Chord F#4 G#3>,"[0, 2]","[6, 8]",Children's Corner 113 6 Eb Major.mid,,164,82,2
164.0,<music21.chord.Chord F#3 B3 E-4 B-2>,"[0, 1, 5, 8]","[10, 11, 3, 6]",Children's Corner 113 6 Eb Major.mid,,165,83,1
164.25,<music21.chord.Chord F#3 B3 E-4 C#3>,"[0, 2, 4, 7]","[11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,165,83,1
164.75,<music21.chord.Chord F#3 B3 E-4 B2>,"[0, 4, 7]","[11, 3, 6]",Children's Corner 113 6 Eb Major.mid,,165,83,1
165.0,<music21.chord.Chord F#3 B3 E-4 C#2>,"[0, 2, 4, 7]","[11, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,166,83,2
166.25,<music21.chord.Chord F#3 B3 E-4 E-2>,"[0, 4, 7]","[11, 3, 6]",Children's Corner 113 6 Eb Major.mid,,167,84,1
166.75,<music21.chord.Chord F#3 B3 E-4 F2>,"[0, 4, 6, 7]","[11, 3, 5, 6]",Children's Corner 113 6 Eb Major.mid,,167,84,1
