offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
40.5,<music21.chord.Chord B-4 B-5 E-5 F#5 F#3 F#2>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
41.0,<music21.chord.Chord E-5 F#5 B-4 B-5 F#3 F#2>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
41.5,<music21.chord.Chord G#4 G#5 E-5 B3 B2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
42.0,<music21.chord.Chord F#4 F#5 B-3 B-2>,"[0, 4]","[6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
42.5,<music21.chord.Chord B-4 E-5 F#4 F#5 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
43.0,<music21.chord.Chord B-4 E-5 F#4 F#5 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
43.5,<music21.chord.Chord B-4 E-5 F#4 F#5 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
44.0,<music21.chord.Chord B-4 E-5 F#4 F#5 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
44.5,<music21.chord.Chord B-4 E-5 F#4 F#5 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
45.0,<music21.chord.Chord B-4 E-5 F#4 F#5 B-3 E-4>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
45.5,<music21.chord.Chord G#4 G#5 B-3 E-4 F#4>,"[0, 3, 5, 7]","[3, 6, 8, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
46.0,<music21.chord.Chord A4 A5 B-3 E-4 F#4>,"[0, 3, 6, 7]","[3, 6, 9, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
46.5,<music21.chord.Chord B-4 B-5 B-3 D4 G#4>,"[0, 2, 6]","[8, 10, 2]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
47.0,<music21.chord.Chord B-4 F5 B-3 D4 G#4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
47.5,<music21.chord.Chord B-4 F#5 B-3 D4 G#4>,"[0, 2, 4, 8]","[6, 8, 10, 2]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
48.0,<music21.chord.Chord F#4 E-5 B-3 E-4 E-3>,"[0, 3, 7]","[3, 6, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
48.5,<music21.chord.Chord F#4 E-5 E-4>,"[0, 3]","[3, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
49.0,<music21.chord.Chord F#4 E-5 E-4>,"[0, 3]","[3, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
49.5,<music21.chord.Chord F#4 E-5 E-4>,"[0, 3]","[3, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
50.0,<music21.chord.Chord F#4 E-5 E-4>,"[0, 3]","[3, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
50.5,<music21.chord.Chord F#4 E-5 E-4>,"[0, 3]","[3, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
50.75,<music21.chord.Chord E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
51.0,<music21.chord.Chord E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
51.5,<music21.chord.Chord E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
52.0,<music21.chord.Chord D4>,[0],[2],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
52.5,<music21.chord.Chord E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
53.0,<music21.chord.Chord B-4>,[0],[10],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
53.75,<music21.chord.Chord G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
54.0,<music21.chord.Chord G#4 E-2>,"[0, 5]","[3, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
54.5,<music21.chord.Chord C#4 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
55.0,<music21.chord.Chord C#4 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
55.5,<music21.chord.Chord G4 B-3>,"[0, 3]","[7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
56.0,<music21.chord.Chord C#4 F#4 G4 B-3>,"[0, 1, 4, 7]","[6, 7, 10, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
56.5,<music21.chord.Chord C#4 F#4 G4 B-3>,"[0, 1, 4, 7]","[6, 7, 10, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
57.0,<music21.chord.Chord C#4 F#4 G4 B-3>,"[0, 1, 4, 7]","[6, 7, 10, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
57.5,<music21.chord.Chord C#4 F#4 G4 B-3>,"[0, 1, 4, 7]","[6, 7, 10, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
58.0,<music21.chord.Chord C#4 F#4 G4 E-3>,"[0, 2, 5, 6]","[1, 3, 6, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
58.5,<music21.chord.Chord G4 B-3 E-3>,"[0, 4, 7]","[3, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
59.0,<music21.chord.Chord C#4 E4 G4 E-3 B-3>,"[0, 3, 6, 8, 9]","[7, 10, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
59.5,<music21.chord.Chord G#4 C#4 E4 G#3 E-3>,"[0, 2, 3, 7]","[1, 3, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
59.875,<music21.chord.Chord G#4 E-3 G#3>,"[0, 5]","[3, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
60.0,<music21.chord.Chord B4 G3 E-3>,"[0, 4, 8]","[3, 7, 11]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
60.5,<music21.chord.Chord C#4 E-4 B4 E-3 G3>,"[0, 2, 4, 8]","[11, 1, 3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
61.0,<music21.chord.Chord C#4 E-4 B4 E-3 G3>,"[0, 2, 4, 8]","[11, 1, 3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
61.5,<music21.chord.Chord B-4 E-2>,"[0, 5]","[10, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
62.0,<music21.chord.Chord C#4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
62.5,<music21.chord.Chord C#4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
63.0,<music21.chord.Chord C#4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
63.5,<music21.chord.Chord C#4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
