offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
12.0,<music21.chord.Chord G4 G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,7,1
13.0,<music21.chord.Chord G4 C4 D4>,"[0, 2, 7]","[0, 2, 7]",Romanian Folk Dances 2 Braul D minor.mid,,7,2
13.125,<music21.chord.Chord C4 D4>,"[0, 2]","[0, 2]",Romanian Folk Dances 2 Braul D minor.mid,,7,2
13.75,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,7,2
14.0,<music21.chord.Chord G4 B3 D4>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,2,8,1
16.0,<music21.chord.Chord G4 F2>,"[0, 2]","[5, 7]",Romanian Folk Dances 2 Braul D minor.mid,1,9,1
16.125,<music21.chord.Chord F2>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,,9,1
16.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,9,1
17.0,<music21.chord.Chord B4 G3 D4>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,,9,2
17.125,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Romanian Folk Dances 2 Braul D minor.mid,,9,2
17.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,9,2
18.0,<music21.chord.Chord C5 E2>,"[0, 4]","[0, 4]",Romanian Folk Dances 2 Braul D minor.mid,,10,1
18.25,<music21.chord.Chord C5>,[0],[0],Romanian Folk Dances 2 Braul D minor.mid,,10,1
19.0,<music21.chord.Chord C5 B3 C4>,"[0, 1]","[11, 0]",Romanian Folk Dances 2 Braul D minor.mid,,10,2
19.25,<music21.chord.Chord B4>,[0],[11],Romanian Folk Dances 2 Braul D minor.mid,,10,2
19.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,10,2
19.75,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,10,2
20.0,<music21.chord.Chord F4 F3 A3 C4>,"[0, 4, 7]","[5, 9, 0]",Romanian Folk Dances 2 Braul D minor.mid,,11,1
20.25,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,,11,1
20.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,,11,1
21.0,<music21.chord.Chord F4 A3 C#4>,"[0, 4, 8]","[1, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,11,2
21.125,<music21.chord.Chord A3 C#4>,"[0, 4]","[9, 1]",Romanian Folk Dances 2 Braul D minor.mid,,11,2
21.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,11,2
22.0,<music21.chord.Chord F4 B-3 D4>,"[0, 4, 7]","[10, 2, 5]",Romanian Folk Dances 2 Braul D minor.mid,,12,1
22.125,<music21.chord.Chord B-3 D4>,"[0, 4]","[10, 2]",Romanian Folk Dances 2 Braul D minor.mid,,12,1
22.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,,12,1
